question,result,context
What red wines would you suggest for someone who enjoys a velvety texture and soft tannins?,"| Title | Description | Variety | Country | Region | Winery | Province |
| Vignerons de Tutiac 2016 Carrelet d'Estuaire Rosé (Bordeaux Rosé) | Bright red fruits give it a crisp character, packed with acidity and lively fruitiness. Great summer apéritif wine. | Rosé | France | Bordeaux Rosé | Vignerons de Tutiac | Bordeaux |
| Château le Breton 2012 Grande Réserve  (Bordeaux) | A very dry, firm wine, with some chocolate extract flavors and signs of wood aging, balanced by stalky black currant fruits. | Bordeaux-style Red Blend | France | Bordeaux | Château le Breton | Bordeaux |
| Maison Bouey 2015 Bordeaux By Boyd-Cantenac  (Bordeaux) | A solid wine with firm tannins, this has structure as well as black-currant acidity. Potential to be a ripe fruity wine from early 2018. | Bordeaux-style Red Blend | France | Bordeaux | Maison Bouey | Bordeaux |
| Barrière Frères 2006 Jacques Sans Souci  (Bordeaux) | A wine that is friendly, accessible, without losing the essential dry tannins and fresh black currant flavors typical of the region. | Bordeaux-style Red Blend | France | Bordeaux | Barrière Frères | Bordeaux |
| Cave du Marmandais 2014 Murets de Mez  (Bordeaux) | An exceptional value for a Bordeaux, this is ripe, full and fruity. Smoky tannins and juicy black currant flavors are bright and generous. | Bordeaux-style Red Blend | France | Bordeaux | Cave du Marmandais | Bordeaux |","Country: France, Description: Pay attention to the Tutiac winemakers north of Bordeaux, who have produced another good wine. Bright red fruits give it a crisp character, packed with acidity and lively fruitiness. It's a great summer apéritif wine. Drink now., Designation: Carrelet d'Estuaire, Points: 87.0, Price: 16.0, Province: Bordeaux, Title: Vignerons de Tutiac 2016 Carrelet d'Estuaire Rosé (Bordeaux Rosé), Variety: Rosé, Winery: Vignerons de Tutiac, Region: Bordeaux Rosé, Style1: Rosé - Bordeaux, Style2: Rosé - Bordeaux, Style3: Rosé - France Country: France, Description: A very dry, firm wine, with some chocolate extract flavors and signs of wood aging, both balanced by stalky black currant fruits. It is hard at present, so give it until 2014., Designation: Grande Réserve, Points: 86.0, Price: 14.0, Province: Bordeaux, Title: Château le Breton 2012 Grande Réserve  (Bordeaux), Variety: Bordeaux-style Red Blend, Winery: Château le Breton, Region: Bordeaux, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: A solid wine with firm tannins, this has structure as well as black-currant acidity. It still has a dry core although this will certainly soften over the next few months. It has the potential to be a ripe fruity wine from early 2018., Designation: Bordeaux By Boyd-Cantenac, Points: 88.0, Price: 15.0, Province: Bordeaux, Title: Maison Bouey 2015 Bordeaux By Boyd-Cantenac  (Bordeaux), Variety: Bordeaux-style Red Blend, Winery: Maison Bouey, Region: Bordeaux, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: A wine that aims to bring out the casual side of Bordeaux, this is friendly, accessible, without losing the essential dry tannins and fresh black currant flavors typical of the region. If only all branded Bordeaux was like this., Designation: Jacques Sans Souci, Points: 88.0, Price: 9.0, Province: Bordeaux, Title: Barrière Frères 2006 Jacques Sans Souci  (Bordeaux), Variety: Bordeaux-style Red Blend, Winery: Barrière Frères, Region: Bordeaux, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: An exceptional value for a Bordeaux, this is ripe, full and fruity. Smoky tannins and juicy black currant flavors are bright and generous. It will be ready to drink from 2016., Designation: Murets de Mez, Points: 86.0, Price: 10.0, Province: Bordeaux, Title: Cave du Marmandais 2014 Murets de Mez  (Bordeaux), Variety: Bordeaux-style Red Blend, Winery: Cave du Marmandais, Region: Bordeaux, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: Dry and serious, this firm wine is classic Bordeaux. It has weight, a core of tannins and black currant fruitiness that needs time to fully integrate with the dense structure. Give this exemplary wine another five years., Designation: Vieilles Vignes, Points: 91.0, Price: 25.0, Province: Bordeaux, Title: Château Landat 2011 Vieilles Vignes  (Haut-Médoc), Variety: Bordeaux-style Red Blend, Winery: Château Landat, Region: Haut-Médoc, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: Calling a wine romantic is perhaps a new approach for Bordeaux. The wine itself is ripe and jammy, with wood tannins that will be softer in a year. Drink from 2016., Designation: Romantique, Points: 86.0, Price: 10.0, Province: Bordeaux, Title: Les Vignerons Réunis de Monségur 2012 Romantique  (Bordeaux), Variety: Bordeaux-style Red Blend, Winery: Les Vignerons Réunis de Monségur, Region: Bordeaux, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: A wine that offers plenty of the charm of Margaux, with its soft tannins, layers of chocolate, smooth texture and juicy fruit. The wood at this stage is prominent, and needs to settle down., Designation: Thomas Barton Réserve, Points: 85.0, Price: 30.0, Province: Bordeaux, Title: Barton & Guestier 2007 Thomas Barton Réserve  (Margaux), Variety: Bordeaux-style Red Blend, Winery: Barton & Guestier, Region: Margaux, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: This Bordeaux-style wine is ripe and rich, balance between dusty tannins and stalky red fruits. Acidity and an attractive generous texture give it shape. It is ready to drink., Designation: Domaine de Brazalem, Points: 85.0, Price: 14.0, Province: Southwest France, Title: Vignerons de Buzet 2011 Domaine de Brazalem Red (Buzet), Variety: Bordeaux-style Red Blend, Winery: Vignerons de Buzet, Region: Buzet, Style1: Bordeaux-style Red Blend - Southwest France, Style2: Bordeaux-style Red Blend - Southwest France, Style3: Bordeaux-style Red Blend - France Country: France, Description: Despite coming from a universally hailed vintage, this generic Bordeaux is still weedy, herbal and lean. But it also has decent cassis and cherry fruit, some tasty vanilla and cinnamon notes from oak aging, and a tart, dry finish. It's light, but it hasn't been dumbed down for the mass market., Designation: Rouge, Points: 85.0, Price: 9.0, Province: Bordeaux, Title: Malesan 2000 Rouge  (Bordeaux), Variety: Bordeaux-style Red Blend, Winery: Malesan, Region: Bordeaux, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: Red currant and red berry fruits show strongly in this wine from Virginie Aubrion's biodynamic vineyards. The tannins are strong, although leaving space for the fruitiness. It needs to develop, with good acidity likely to come through. Drink from 2016., Designation: Cuvée Prestige, Points: 85.0, Price: 20.0, Province: Bordeaux, Title: Château de Piote 2013 Cuvée Prestige  (Bordeaux Supérieur), Variety: Bordeaux-style Red Blend, Winery: Château de Piote, Region: Bordeaux Supérieur, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: Rich, wood-aged wine that shows ripe blackberry juice flavors to balance the firm tannins. It has good depth, structure and weight, a ripe and good value Bordeaux., Designation: Vieilles VIgnes, Points: 86.0, Price: unknown, Province: Bordeaux, Title: Château Saintongey 2010 Vieilles VIgnes  (Bordeaux), Variety: Bordeaux-style Red Blend, Winery: Château Saintongey, Region: Bordeaux, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: This is the blended Bordeaux from Calvet, one of the oldest wine names in the city. It's full and ripe, a rounded wine that has good berry fruits as well as a drier, firmer core. At the end, a more smoky character appears., Designation: Réserve, Points: 86.0, Price: 13.0, Province: Bordeaux, Title: Calvet 2010 Réserve  (Bordeaux), Variety: Bordeaux-style Red Blend, Winery: Calvet, Region: Bordeaux, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: The wine has some extraction that leaves a bitter edge. That needs to blow off to allow the underlying ripe blackberry fruit to come through. So wait until 2018., Designation: Grande Réserve, Points: 87.0, Price: 18.0, Province: Bordeaux, Title: Château Labatut 2015 Grande Réserve  (Bordeaux Supérieur), Variety: Bordeaux-style Red Blend, Winery: Château Labatut, Region: Bordeaux Supérieur, Style1: Bordeaux-style Red Blend - Bordeaux, Style2: Bordeaux-style Red Blend - Bordeaux, Style3: Bordeaux-style Red Blend - France Country: France, Description: One of a range of wines produced by the Bordeaux-based Despagne family, this is a blend of Bordeaux grape varieties. It's attractive and fruity, with crisp red currant notes and a refreshing layer of acidity. Drink now., Designation: Le Mythe d'Amphorie, Points: 87.0, Price: 20.0, Province: France Other, Title: Vignobles Despagne 2016 Le Mythe d'Amphorie Rosé (Vin de France), Variety: Rosé, Winery: Vignobles Despagne, Region: Vin de France, Style1: Rosé - France Other, Style2: Rosé - France Other, Style3: Rosé - France"
What would be a good wine for a dinner party?,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Guido Porro 2007 Vigna Lazzairasco  (Barolo) | A fine wine for dinner parties and important family reunions, this bright Barolo exudes elegance and finesse thanks to its delicate aromas of blue flower, dried lavender, cassis and forest berry. | Nebbiolo | Italy | Barolo | Guido Porro | Piedmont |
| Domaine Schoffit 2014 Vieilles Vignes Pinot Auxerrois (Alsace) | Green pear and soft citrus are the chief charms of this wine. The palate is clean, dry and easy to drink. | Pinot Auxerrois | France | Alsace | Domaine Schoffit | Alsace |
| Dante 2010 Reserve Cabernet Sauvignon (California) | For the price, this is a great wine for a party or an everyday dinner. It's soft, easy to drink and rich enough in cherry, berry and oak flavors to satisfy Cabernet lovers. | Cabernet Sauvignon | US | California | Dante | California |
| Fetzer 1999 Valley Oaks Syrah (California) | Good color, and the kind of flavor that many countries would kill for in so inexpensive a wine. It's ripely fruity, with firm tannins and dry acidity. | Syrah | US | California | Fetzer | California |
| W. Gisselbrecht 2015 Tradition Pinot Blanc (Alsace) | Bounteous fruit flavors need a little air to wake up but soon you'll have a party in your glass of ripe yellow plums, freshly cut apples, pears and melons. | Pinot Blanc | France | Alsace | W. Gisselbrecht | Alsace |","Country: Italy, Description: A fine wine for dinner parties and important family reunions, this bright Barolo exudes elegance and finesse thanks to its delicate aromas of blue flower, dried lavender, cassis and forest berry. The wine is sheer and smooth with taut firmness on the close., Designation: Vigna Lazzairasco, Points: 92.0, Price: 44.0, Province: Piedmont, Title: Guido Porro 2007 Vigna Lazzairasco  (Barolo), Variety: Nebbiolo, Winery: Guido Porro, Region: Barolo, Style1: Nebbiolo - Piedmont, Style2: Nebbiolo - Piedmont, Style3: Nebbiolo - Italy Country: France, Description: Green pear and soft citrus are the chief charms of this wine. The palate is clean, dry and easy to drink. It's a good all-rounder for a party., Designation: Vieilles Vignes, Points: 87.0, Price: 21.0, Province: Alsace, Title: Domaine Schoffit 2014 Vieilles Vignes Pinot Auxerrois (Alsace), Variety: Pinot Auxerrois, Winery: Domaine Schoffit, Region: Alsace, Style1: Pinot Auxerrois - Alsace, Style2: Pinot Auxerrois - Alsace, Style3: Pinot Auxerrois - France Country: US, Description: For the price, this is a great wine for a party or an everyday dinner. It's soft, easy to drink and rich enough in cherry, berry and oak flavors to satisfy Cabernet lovers. And it's easy to find, with 10,000 cases produced., Designation: Reserve, Points: 85.0, Price: 11.0, Province: California, Title: Dante 2010 Reserve Cabernet Sauvignon (California), Variety: Cabernet Sauvignon, Winery: Dante, Region: California, Style1: Cabernet Sauvignon - California, Style2: Cabernet Sauvignon - California, Style3: Cabernet Sauvignon - California Country: US, Description: Good color, and the kind of flavor that many countries would kill for in so inexpensive a wine. It's ripely fruity, with firm tannins and dry acidity. Well-rounded and supple, this is an excellent value in an elegant dinner wine. —S.H., Designation: Valley Oaks, Points: 86.0, Price: 9.0, Province: California, Title: Fetzer 1999 Valley Oaks Syrah (California), Variety: Syrah, Winery: Fetzer, Region: California, Style1: Syrah - California, Style2: Syrah - California, Style3: Syrah - California Country: France, Description: An attractive wine. The Chardonnay is fresh, lightly mineral, with flavors of red apples, lemon zest and crisp acidity. A great party wine., Designation: Cuvée Réservée Brut, Points: 85.0, Price: 10.0, Province: France Other, Title: Barton & Guestier NV Cuvée Réservée Brut Chardonnay (Vin Mousseux), Variety: Chardonnay, Winery: Barton & Guestier, Region: Vin Mousseux, Style1: Chardonnay - France Other, Style2: Chardonnay - France Other, Style3: Chardonnay - France Country: US, Description: This blend of 35% Merlot, 35% Cabernet Sauvignon and 30% Petite Sirah is actually a party of three, but the results are solid. Chocolate, black cherries, scarlet rose buds and toasted oak pop on the nose. The smooth and dense palate shows boysenberry, black pepper and a chalky tannic structure., Designation: Party of Four, Points: 90.0, Price: 45.0, Province: California, Title: HammerSky 2013 Party of Four Red (Paso Robles), Variety: Bordeaux-style Red Blend, Winery: HammerSky, Region: Paso Robles, Style1: Bordeaux-style Red Blend - California, Style2: Bordeaux-style Red Blend - Paso Robles, Style3: Bordeaux-style Red Blend - Paso Robles Country: France, Description: The nose gives little away but the palate holds red, rounded fruit diffused by frothy, lively fizz. The foamy bubbles spell exuberance and easy-drinking enjoyment. Dry, light and rounded, this is a perfect party wine in a most appealing shade of coppery pink., Designation: Rosé, Points: 89.0, Price: 23.0, Province: Alsace, Title: Ruhlmann NV Rosé Sparkling (Crémant d'Alsace), Variety: Sparkling Blend, Winery: Ruhlmann, Region: Crémant d'Alsace, Style1: Sparkling Blend - Alsace, Style2: Sparkling Blend - Alsace, Style3: Sparkling Blend - France Country: US, Description: Jolly Rancher-red in color, there's high-toned grapefruit and watermelon in this Rosé. Layers of tropical juiciness on the back of the tongue and a nice finish make this a refreshing wine before, during or after dinner., Designation: Rosé of, Points: 87.0, Price: 24.0, Province: California, Title: Festival and Feast 2013 Rosé of Pinot Noir (Sonoma County), Variety: Pinot Noir, Winery: Festival and Feast, Region: Sonoma, Style1: Pinot Noir - California, Style2: Pinot Noir - Sonoma, Style3: Pinot Noir - Sonoma Country: US, Description: Way too sweet and soft to qualify as a dry table wine. Okay for big parties where everyone's drinking happily from paper cups., Designation: Split Oak Estates, Points: 81.0, Price: 12.0, Province: California, Title: Morro Bay 2009 Split Oak Estates Cabernet Sauvignon (California), Variety: Cabernet Sauvignon, Winery: Morro Bay, Region: California, Style1: Cabernet Sauvignon - California, Style2: Cabernet Sauvignon - California, Style3: Cabernet Sauvignon - California Country: France, Description: Bounteous fruit flavors need a little air to wake up but soon you'll have a party in your glass of ripe yellow plums, freshly cut apples, pears and melons. This is easy and very fruit-driven, balanced, light and just the ticket for a party in the sunshine., Designation: Tradition, Points: 89.0, Price: 15.0, Province: Alsace, Title: W. Gisselbrecht 2015 Tradition Pinot Blanc (Alsace), Variety: Pinot Blanc, Winery: W. Gisselbrecht, Region: Alsace, Style1: Pinot Blanc - Alsace, Style2: Pinot Blanc - Alsace, Style3: Pinot Blanc - France Country: US, Description: Soft and fruity, this easy-drinking Syrah has pleasant, jammy flavors of raspberries, blackberries, cola, bacon and peppery spices. It's a nice, full-bodied red wine to drink now with party food., Designation: Tribute Series, Points: 85.0, Price: 27.0, Province: California, Title: Ben Hogan 2008 Tribute Series Syrah (Paso Robles), Variety: Syrah, Winery: Ben Hogan, Region: Paso Robles, Style1: Syrah - California, Style2: Syrah - Paso Robles, Style3: Syrah - Paso Robles Country: US, Description: This blend of 60% Petit Verdot, 15% Malbec, 15% Merlot and 10% Cabernet Sauvignon offers a grape-driven nose, boosted by dried black cherry, licorice and baking spice, more playful than brooding. Bright flavors of blackberry and red cherry make for a juicy, tangy wine with decent tannic structure., Designation: Party of Four, Points: 88.0, Price: 49.0, Province: California, Title: HammerSky 2012 Party of Four Red (Paso Robles), Variety: Bordeaux-style Red Blend, Winery: HammerSky, Region: Paso Robles, Style1: Bordeaux-style Red Blend - California, Style2: Bordeaux-style Red Blend - Paso Robles, Style3: Bordeaux-style Red Blend - Paso Robles Country: US, Description: This hearty blend of Merlot and Cabernet Sauvignon with smaller amounts of Malbec and Petit Verdot is a great go-to wine for a crowd. Cabernet leads the way with cedar, cranberry and tobacco notes, clipped by sizable tannin. As it opens, layers of dense raspberry and vanilla flavors unfurl., Designation: Mountain Cuvée, Points: 88.0, Price: 20.0, Province: California, Title: Gundlach Bundschu 2014 Mountain Cuvée Red (Sonoma County), Variety: Bordeaux-style Red Blend, Winery: Gundlach Bundschu, Region: Sonoma, Style1: Bordeaux-style Red Blend - California, Style2: Bordeaux-style Red Blend - Sonoma, Style3: Bordeaux-style Red Blend - Sonoma Country: US, Description: This winery produces luxuriously rich wines, and this blend of 47% Merlot, 30% Petit Verdot, 12% Malbec and 11% Cabernet Sauvignon fits right in. Aromas suggest vanilla-cherry cream, fresh cracked dark chocolate, mulberry extract and root beer. Cola, blackberries and woody herbs show once sipped., Designation: Party of Four, Points: 88.0, Price: 59.0, Province: California, Title: HammerSky 2010 Party of Four Red (Paso Robles), Variety: Red Blend, Winery: HammerSky, Region: Paso Robles, Style1: Red Blend - California, Style2: Red Blend - Paso Robles, Style3: Red Blend - Paso Robles Country: US, Description: This blend of Cabernet Sauvignon, Merlot and Syrah offers appealing, fruit-forward aromas of plum and blackberry. The flavors are direct and fruit filled, providing a lot of enjoyment., Designation: Chicken Dinner, Points: 89.0, Price: 18.0, Province: America, Title: Huston 2015 Chicken Dinner Red (America), Variety: Red Blend, Winery: Huston, Region: America, Style1: Red Blend - America, Style2: Red Blend - America, Style3: Red Blend - America"
